satelite,municipio,estado,numero_dias_sem_chuva,precipitacao,bioma,frp
NOAA-20,SANTA VITÓRIA,MINAS GERAIS,9.0,0.0,Cerrado,4.4
NOAA-20,VIANÓPOLIS,GOIÁS,11.0,0.0,Cerrado,2.0
NOAA-20,CAMAPUÃ,MATO GROSSO DO SUL,0.0,0.09,Cerrado,5.0
NOAA-20,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,6.2
NOAA-20,LAGOA DA CONFUSÃO,TOCANTINS,5.0,0.0,Cerrado,12.5
NOAA-20,LAGOA DA CONFUSÃO,TOCANTINS,1.0,0.0,Cerrado,10.5
NOAA-20,FELIZ NATAL,MATO GROSSO,4.0,0.37,Amazônia,4.4
NOAA-20,VERA,MATO GROSSO,6.0,0.0,Amazônia,7.1
NOAA-20,BARRA DO GARÇAS,MATO GROSSO,4.0,0.0,Cerrado,2.4
NOAA-20,GAÚCHA DO NORTE,MATO GROSSO,11.0,0.0,Amazônia,52.8
NOAA-20,LAGOA DA CONFUSÃO,TOCANTINS,4.0,0.0,Cerrado,6.1
NOAA-20,ELDORADO DO CARAJÁS,PARÁ,0.0,0.0,Amazônia,3.2
AQUA_M-T,COTEGIPE,BAHIA,6.0,0.0,Cerrado,16.8
AQUA_M-T,BOM CONSELHO,PERNAMBUCO,11.0,0.0,Caatinga,15.1
AQUA_M-T,LAGOA DO MATO,MARANHÃO,6.0,0.0,Cerrado,66.9
AQUA_M-T,SANTA TEREZINHA,BAHIA,0.0,0.1,Mata Atlântica,6.6
AQUA_M-T,FLORIANO,PIAUÍ,6.0,0.0,Caatinga,33.3
AQUA_M-T,SÃO PEDRO,RIO GRANDE DO NORTE,9.0,0.0,Caatinga,25.0
AQUA_M-T,BARRA DO CORDA,MARANHÃO,6.0,0.0,Cerrado,23.6
AQUA_M-T,PESQUEIRA,PERNAMBUCO,22.0,0.0,Caatinga,10.8
AQUA_M-T,TAILÂNDIA,PARÁ,2.0,0.0,Amazônia,29.2
AQUA_M-T,PIRACURUCA,PIAUÍ,3.0,0.21,Caatinga,34.4
AQUA_M-T,CENTRO NOVO DO MARANHÃO,MARANHÃO,1.0,1.19,Amazônia,11.5
NOAA-21,SÃO GABRIEL DO OESTE,MATO GROSSO DO SUL,9.0,0.0,Cerrado,23.9
NOAA-21,QUERÊNCIA,MATO GROSSO,4.0,0.0,Amazônia,20.0
NOAA-21,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,21.9
NOAA-21,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,3.0,3.86,Amazônia,8.0
NOAA-21,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,3.0,3.33,Amazônia,30.0
NOAA-21,SANTO ANTÔNIO DO LEVERGER,MATO GROSSO,5.0,0.0,Cerrado,7.6
NPP-375,NIOAQUE,MATO GROSSO DO SUL,2.0,0.0,Cerrado,4.2
NOAA-20,SÃO FRANCISCO DO GUAPORÉ,RONDÔNIA,3.0,3.82,Amazônia,14.3
AQUA_M-T,CORUMBIARA,RONDÔNIA,0.0,4.1,Amazônia,5.9
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,121.9
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,105.0
GOES-19,CANTO DO BURITI,PIAUÍ,5.0,0.0,Caatinga,82.9
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,103.4
GOES-19,CANARANA,MATO GROSSO,9.0,0.0,Cerrado,80.0
GOES-19,BURITIS,MINAS GERAIS,7.0,0.0,Cerrado,76.4
GOES-19,BURITIS,MINAS GERAIS,7.0,0.0,Cerrado,77.6
GOES-19,ANICUNS,GOIÁS,7.0,0.0,Cerrado,67.9
TERRA_M-M,ITAGUAÇU DA BAHIA,BAHIA,5.0,0.0,Caatinga,23.5
TERRA_M-M,OEIRAS,PIAUÍ,14.0,0.0,Caatinga,21.3
GOES-19,CANTO DO BURITI,PIAUÍ,7.0,0.0,Caatinga,78.2
GOES-19,CANARANA,MATO GROSSO,10.0,0.0,Cerrado,50.3
GOES-19,COCOS,BAHIA,8.0,0.0,Cerrado,83.9
GOES-19,COCOS,BAHIA,8.0,0.0,Cerrado,111.7
GOES-19,COCOS,BAHIA,8.0,0.0,Cerrado,137.7
NPP-375D,BARAÚNA,RIO GRANDE DO NORTE,9.0,5.55,Caatinga,3.6
NPP-375D,SANTA RITA DE CÁSSIA,BAHIA,6.0,0.0,Cerrado,1.4
NPP-375D,WANDERLÂNDIA,TOCANTINS,2.0,0.78,Cerrado,1.9
NPP-375D,ITAÍ,SÃO PAULO,0.0,0.0,Cerrado,1.8
NPP-375D,MINAS NOVAS,MINAS GERAIS,8.0,0.0,Cerrado,1.1
NPP-375D,COCOS,BAHIA,8.0,0.0,Cerrado,34.4
NPP-375D,CAJOBI,SÃO PAULO,9.0,0.0,Mata Atlântica,1.0
NPP-375D,CANARANA,MATO GROSSO,10.0,0.0,Cerrado,3.4
NPP-375D,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,0.0,0.0,Amazônia,1.6
NPP-375D,SÃO FÉLIX DO ARAGUAIA,MATO GROSSO,0.0,0.0,Amazônia,1.6
NPP-375D,NOVA LACERDA,MATO GROSSO,0.0,2.3,Amazônia,0.5
NPP-375D,CANARANA,MATO GROSSO,10.0,0.0,Cerrado,6.0
AQUA_M-M,CANTO DO BURITI,PIAUÍ,7.0,0.0,Caatinga,68.2
AQUA_M-M,GAÚCHA DO NORTE,MATO GROSSO,12.0,0.0,Amazônia,13.0
GOES-19,NAZARÉ DO PIAUÍ,PIAUÍ,16.0,0.0,Caatinga,81.1
TERRA_M-T,BURITI BRAVO,MARANHÃO,7.0,0.0,Cerrado,16.2
TERRA_M-T,SÃO DESIDÉRIO,BAHIA,7.0,0.0,Cerrado,28.3
TERRA_M-T,COCOS,BAHIA,8.0,0.0,Cerrado,31.0
TERRA_M-T,CAMPO LARGO,PARANÁ,0.0,0.1,Mata Atlântica,5.5
GOES-19,MIRADOR,MARANHÃO,7.0,0.0,Cerrado,72.0
GOES-19,NAZARÉ DO PIAUÍ,PIAUÍ,16.0,0.0,Caatinga,138.4
GOES-19,COXIM,MATO GROSSO DO SUL,10.0,0.0,Cerrado,74.0
